,game_location,game_result,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_pts,date_game,team_id,opp_id
0,Home,W 149-140 (2OT),290,60,113,.531,50,86,.581,10,27,.370,19,20,.950,149,49,100,.490,35,64,.547,14,36,.389,28,36,.778,140,2012-03-23,OKC,MIN
1,Home,W 149-106 ,240,53,86,.616,34,50,.680,19,36,.528,24,35,.686,149,40,93,.430,32,73,.438,8,20,.400,18,22,.818,106,2016-11-23,GSW,LAL
2,@,W 147-144 (4OT),340,56,124,.452,48,95,.505,8,29,.276,27,46,.587,147,50,120,.417,45,98,.459,5,22,.227,39,44,.886,144,2015-12-18,DET,CHI
3,@,W 145-130 ,240,56,97,.577,45,71,.634,11,26,.423,22,28,.786,145,44,95,.463,30,63,.476,14,32,.438,28,35,.800,130,2014-04-08,HOU,LAL
4,@,W 144-143 (2OT),290,57,109,.523,46,80,.575,11,29,.379,19,24,.792,144,53,125,.424,38,82,.463,15,43,.349,22,25,.880,143,2015-04-10,DAL,DEN
5,Home,L 144-147 (4OT),340,50,120,.417,45,98,.459,5,22,.227,39,44,.886,144,56,124,.452,48,95,.505,8,29,.276,27,46,.587,147,2015-12-18,CHI,DET
6,Home,W 144-109 ,240,56,86,.651,43,58,.741,13,28,.464,19,23,.826,144,40,92,.435,29,62,.468,11,30,.367,18,22,.818,109,2016-04-13,MIN,NOP
7,Home,W 144-98 ,240,57,92,.620,40,58,.690,17,34,.500,13,16,.813,144,36,82,.439,24,54,.444,12,28,.429,14,22,.636,98,2017-01-28,GSW,LAC
8,Home,W 143-107 ,240,51,76,.671,43,58,.741,8,18,.444,33,40,.825,143,44,102,.431,37,77,.481,7,25,.280,12,15,.800,107,2014-03-28,MIN,LAL
9,Home,L 143-144 (2OT),290,53,125,.424,38,82,.463,15,43,.349,22,25,.880,143,57,109,.523,46,80,.575,11,29,.379,19,24,.792,144,2015-04-10,DEN,DAL
10,@,W 143-114 ,240,48,83,.578,33,53,.623,15,30,.500,32,35,.914,143,43,105,.410,32,71,.451,11,34,.324,17,23,.739,114,2017-01-20,BRK,NOP
11,@,W 142-94 ,240,57,103,.553,45,77,.584,12,26,.462,16,22,.727,142,34,86,.395,26,56,.464,8,30,.267,18,26,.692,94,2014-03-06,LAC,LAL
12,Home,W 142-119 ,240,53,87,.609,44,64,.688,9,23,.391,27,34,.794,142,43,83,.518,33,54,.611,10,29,.345,23,28,.821,119,2016-01-02,SAC,PHO
13,Home,W 142-106 ,240,54,104,.519,40,67,.597,14,37,.378,20,26,.769,142,35,85,.412,32,70,.457,3,15,.200,33,35,.943,106,2016-12-05,GSW,IND
14,Home,W 142-139 (4OT),340,52,119,.437,42,88,.477,10,31,.323,28,40,.700,142,51,128,.398,33,77,.429,18,51,.353,19,23,.826,139,2017-01-29,ATL,NYK
15,Home,W 142-130 ,240,44,94,.468,22,36,.611,22,58,.379,32,42,.762,142,49,94,.521,40,68,.588,9,26,.346,23,28,.821,130,2017-02-25,HOU,MIN
16,Home,W 141-129 (2OT),290,56,101,.554,46,78,.590,10,23,.435,19,24,.792,141,48,93,.516,34,66,.515,14,27,.519,19,26,.731,129,2013-02-26,MIA,SAC
17,@,L 140-149 (2OT),290,49,100,.490,35,64,.547,14,36,.389,28,36,.778,140,60,113,.531,50,86,.581,10,27,.370,19,20,.950,149,2012-03-23,MIN,OKC
18,@,W 140-133 (3OT),315,46,93,.495,32,67,.478,14,26,.538,34,43,.791,140,51,108,.472,43,84,.512,8,24,.333,23,30,.767,133,2012-11-12,UTA,TOR
19,Home,W 140-109 ,240,46,91,.505,23,51,.451,23,40,.575,25,35,.714,140,41,86,.477,38,71,.535,3,15,.200,24,30,.800,109,2013-02-05,HOU,GSW
20,Home,W 140-106 ,240,51,82,.622,33,47,.702,18,35,.514,20,28,.714,140,44,85,.518,39,72,.542,5,13,.385,13,21,.619,106,2014-11-21,DAL,LAL
21,Home,W 140-132 (OT),265,47,91,.516,25,54,.463,22,37,.595,24,33,.727,140,44,88,.500,33,56,.589,11,32,.344,33,52,.635,132,2016-01-18,LAC,HOU
22,Home,W 140-116 ,240,45,81,.556,31,41,.756,14,40,.350,36,43,.837,140,45,96,.469,32,63,.508,13,33,.394,13,16,.813,116,2016-12-30,HOU,LAC
23,Home,W 140-112 ,240,52,91,.571,37,59,.627,15,32,.469,21,23,.913,140,44,94,.468,32,65,.492,12,29,.414,12,13,.923,112,2017-01-12,DEN,IND
24,@,W 140-135 (OT),265,49,92,.533,30,54,.556,19,38,.500,23,28,.821,140,50,99,.505,38,70,.543,12,29,.414,23,26,.885,135,2017-02-06,CLE,WAS
25,Home,W 139-133 (4OT),340,48,107,.449,42,88,.477,6,19,.316,37,47,.787,139,49,126,.389,43,105,.410,6,21,.286,29,35,.829,133,2012-03-25,ATL,UTA
26,@,W 139-105 ,240,52,93,.559,31,56,.554,21,37,.568,14,20,.700,139,39,87,.448,30,72,.417,9,15,.600,18,26,.692,105,2013-12-14,POR,PHI
27,Home,W 139-91 ,240,56,84,.667,41,64,.641,15,20,.750,12,16,.750,139,29,72,.403,26,58,.448,3,14,.214,30,41,.732,91,2014-11-14,NOP,MIN
28,@,W 139-136 (2OT),290,50,110,.455,42,83,.506,8,27,.296,31,38,.816,139,47,106,.443,35,73,.479,12,33,.364,30,38,.789,136,2015-10-30,OKC,ORL
29,Home,W 139-134 (OT),265,47,95,.495,34,62,.548,13,33,.394,32,37,.865,139,44,85,.518,32,55,.582,12,30,.400,34,50,.680,134,2016-02-10,BOS,LAC
30,Home,W 139-105 ,240,56,91,.615,42,64,.656,14,27,.519,13,19,.684,139,37,79,.468,32,65,.492,5,14,.357,26,39,.667,105,2016-03-29,ORL,BRK
31,@,L 139-142 (4OT),340,51,128,.398,33,77,.429,18,51,.353,19,23,.826,139,52,119,.437,42,88,.477,10,31,.323,28,40,.700,142,2017-01-29,NYK,ATL
32,@,W 138-113 ,240,52,95,.547,40,67,.597,12,28,.429,22,31,.710,138,39,84,.464,33,65,.508,6,19,.316,29,35,.829,113,2015-04-15,OKC,MIN
33,Home,W 138-109 ,240,49,78,.628,35,57,.614,14,21,.667,26,34,.765,138,41,91,.451,30,59,.508,11,32,.344,16,21,.762,109,2016-12-03,GSW,PHO
34,Home,W 137-97 ,240,51,86,.593,36,58,.621,15,28,.536,20,24,.833,137,32,84,.381,24,64,.375,8,20,.400,25,32,.781,97,2012-02-21,POR,SAS
35,Home,W 137-118 ,240,49,94,.521,34,56,.607,15,38,.395,24,28,.857,137,41,82,.500,34,57,.596,7,25,.280,29,43,.674,118,2013-11-04,LAC,HOU
